#Mission K2
#Campaign 6
#Column 1, Custom Aperture Number/Dataset number
#Column 2, Trojan/Asteroid designation number
#Created by Susan Thompson
#Created on 2016-02-02
200043244,129602
200043245,129602
200043246,129602
200043247,129602
200043248,129602
200043249,129602
200043250,129602
200043251,129602
200043252,129602
200043253,129602
200043254,129602
200043255,129602
200043256,129602
200043257,129602
200043258,129602
200043259,129602
200043260,129602
200043261,129602
200043262,129602
200043263,129602
200043264,129602
200043265,129602
200043266,129602
200043267,129602
200043268,129602
200043269,129602
200043270,129602
200043271,129602
200043272,129602
200043273,129602
200043274,129602
200043275,129602
200043276,129602
200043277,129602
200043278,129602
200043279,129602
200043280,129602
200043281,129602
200043282,129602
200043283,129602
200043284,129602
200043285,129602
200043286,129602
200043287,129602
200043288,129602
200043289,129602
200043290,129602
200043291,129602
200043292,129602
200043293,129602
200043294,129602
200043295,129602
200043296,129602
200043297,129602
200043298,129602
200043299,129602
200043300,129602
200043301,129602
200043302,129602
200043303,129602
200043304,129602
200043305,129602
200043306,129602
200043307,129602
200043308,129602
200043309,129602
200043310,129602
200043311,129602
200043312,129602
200043313,129602
200043314,129602
200043315,129602
200043316,129602
200043317,129602
200043318,129602
200043319,129602
200043320,129602
200043321,129602
200043322,129602
200043323,129602
200043324,129602
200043325,129602
200043326,129602
200043327,129602
200043328,129602
200043329,129602
200043330,129602
200043331,129602
200043332,129602
200043333,129602
200043334,129602
200043335,129602
200043336,129602
200043337,129602
200043338,129602
200043339,129602
200043340,129602
200043341,129602
200043342,129602
200043343,129602
200043344,129602
200043345,129602
200043346,129602
200043347,129602
200043348,129602
200043349,129602
200043350,129602
200043351,129602
200043352,129602
200043353,129602
200043354,129602
200043355,129602
200043356,129602
200043357,129602
200043358,129602
200043359,129602
200043360,129602
200043361,129602
200043362,129602
200043363,129602
200043364,129602
200043365,129602
200043366,129602
200043367,129602
200043368,129602
200043369,129602
200043370,129602
200043371,129602
200043372,129602
200043373,129602
200043374,129602
200043375,129602
200043376,129602
200043377,129602
200043378,129602
200043379,129602
200043380,129602
200043381,129602
200043382,129602
200043383,129602
200043384,129602
200043385,129602
200043386,129602
200043387,129602
200043388,129602
200043389,129602
200043390,129602
200043391,129602
200043392,129602
200043393,129602
200043394,129602
200043395,129602
200043396,129602
200043397,129602
200043398,129602
200043399,129602
200043400,129602
200043401,129602
200043402,129602
200043403,129602
200043404,129602
200043405,129602
200043406,129602
200043407,129602
200043408,129602
200043409,129602
200043410,129602
200043411,129602
200043412,129602
200043413,129602
200043414,129602
200043415,129602
200043416,129602
200043417,129602
200043418,129602
200043419,129602
200043420,129602
200043421,129602
200043422,129602
200043423,129602
200043424,129602
200043425,129602
200043426,129602
200043427,129602
200043428,129602
200043429,129602
200043430,129602
200043431,129602
200043432,129602
200043433,129602
200043434,129602
200043435,129602
200043436,129602
200043437,129602
200043438,129602
200043439,129602
200043440,129602
200043441,129602
200043442,129602
200043443,129602
200043444,129602
200043445,129602
200043446,129602
200043447,129602
200043448,12974
200043449,12974
200043450,12974
200043451,12974
200043452,12974
200043453,12974
200043454,12974
200043455,12974
200043456,12974
200043457,12974
200043458,12974
200043459,12974
200043460,12974
200043461,12974
200043462,12974
200043463,12974
200043464,12974
200043465,12974
200043466,12974
200043467,12974
200043468,12974
200043469,12974
200043470,12974
200043471,12974
200043472,12974
200043473,12974
200043474,12974
200043475,12974
200043476,12974
200043477,12974
200043478,12974
200043479,12974
200043480,12974
200043481,12974
200043482,12974
200043483,12974
200043484,12974
200043485,12974
200043486,12974
200043487,12974
200043488,12974
200043489,12974
200043490,12974
200043491,12974
200043492,12974
200043493,12974
200043494,12974
200043495,12974
200043496,12974
200043497,12974
200043498,12974
200043499,12974
200043500,12974
200043501,12974
200043502,12974
200043503,12974
200043504,12974
200043505,12974
200043506,12974
200043507,12974
200043508,12974
200043509,12974
200043510,12974
200043511,12974
200043512,12974
200043513,12974
200043514,12974
200043515,12974
200043516,12974
200043517,12974
200043518,12974
200043519,12974
200043520,12974
200043521,12974
200043522,12974
200043523,12974
200043524,12974
200043525,12974
200043526,12974
200043527,12974
200043528,12974
200043529,12974
200043530,12974
200043531,12974
200043532,12974
200043533,12974
200043534,12974
200043535,12974
200043536,12974
200043537,12974
200043538,12974
200043539,12974
200043540,12974
200043541,12974
200043542,12974
200043543,12974
200043544,12974
200043545,12974
200043546,12974
200043547,12974
200043548,12974
200043549,12974
200043550,12974
200043551,12974
200043552,12974
200043553,12974
200043554,12974
200043555,12974
200043556,12974
200043557,12974
200043558,12974
200043559,12974
200043560,12974
200043561,12974
200043562,12974
200043563,12974
200043564,12974
200043565,12974
200043566,12974
200043567,12974
200043568,12974
200043569,12974
200043570,12974
200043571,12974
200043572,12974
200043573,12974
200043574,12974
200043575,12974
200043576,12974
200043577,12974
200043578,12974
200043579,12974
200043580,12974
200043581,12974
200043582,12974
200043583,12974
200043584,12974
200043585,12974
200043586,12974
200043587,12974
200043588,12974
200043589,12974
200043590,12974
200043591,12974
200043592,12974
200043593,12974
200043594,12974
200043595,12974
200043596,12974
200043597,12974
200043598,12974
200043599,12974
200043600,12974
200043601,12974
200043602,12974
200043603,12974
200043604,12974
200043605,12974
200043606,12974
200043607,12974
200043608,12974
200043609,12974
200043610,12974
200043611,12974
200043612,12974
200043613,12974
200043614,12974
200043615,12974
200043616,12974
200043617,12974
200043618,12974
200043619,12974
200043620,12974
200043621,12974
200043622,12974
200043623,12974
200043624,12974
200043625,12974
200043626,12974
200043627,12974
200043628,12974
200043629,12974
200043630,12974
200043631,12974
200043632,12974
200043633,12974
200043634,12974
200043635,12974
200043636,12974
200043637,12974
200043638,12974
200043639,12974
200043640,12974
200043641,12974
200043642,12974
200043643,12974
200043644,12974
200043645,12974
200043646,12974
200043647,12974
200043648,12974
200043649,12974
200043650,12974
200043651,12974
200043652,12974
200043653,12974
200043654,12974
200043655,12974
200043656,12974
200043657,12974
200043658,12974
200043659,12974
200043660,12974
200043661,12974
200043662,12974
200043663,12974
200043664,12974
200043665,12974
200043666,12974
200043667,12974
200043668,12974
200043669,12974
200043670,12974
200043671,12974
200043672,12974
200043673,12974
200043674,12974
200043675,12974
200043676,12974
200043677,12974
200043678,12974
200043679,12974
200043680,12974
200043681,12974
200043682,12974
200043683,12974
200043684,12974
200043685,12974
200043686,12974
200043687,12974
200043688,12974
200043689,12974
200043690,12974
200043691,12974
200043692,12974
200043693,12974
200043694,12974
200043695,12974
200043696,12974
200043697,12974
200043698,12974
200043699,12974
200043700,12974
200043701,12974
200043702,12974
200043703,12974
200043704,12974
200043705,12974
200043706,12974
200043707,12974
200043708,12974
200043709,12974
200043710,12974
200043711,12974
200043712,12974
200043713,12974
200043714,12974
200043715,12974
200043716,12974
200043717,12974
200043718,12974
200043719,12974
200043720,12974
200043721,13184
200043722,13184
200043723,13184
200043724,13184
200043725,13184
200043726,13184
200043727,13184
200043728,13184
200043729,13184
200043730,13184
200043731,13184
200043732,13184
200043733,13184
200043734,13184
200043735,13184
200043736,13184
200043737,13184
200043738,13184
200043739,13184
200043740,13184
200043741,13184
200043742,13184
200043743,13184
200043744,13184
200043745,13184
200043746,13184
200043747,13184
200043748,13184
200043749,13184
200043750,13184
200043751,13184
200043752,13184
200043753,13184
200043754,13184
200043755,13184
200043756,13184
200043757,13184
200043758,13184
200043759,13185
200043760,13185
200043761,13185
200043762,13185
200043763,13185
200043764,13185
200043765,13185
200043766,13185
200043767,13185
200043768,13185
200043769,13185
200043770,13185
200043771,13185
200043772,13185
200043773,13185
200043774,13185
200043775,13185
200043776,13185
200043777,13185
200043778,13185
200043779,13185
200043780,13185
200043781,13185
200043782,13185
200043783,13185
200043784,13185
200043785,13185
200043786,13185
200043787,13185
