# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457222.38805,   1.0815000000000E+04
2457222.38873,   1.0632000000000E+04
2457222.38942,   1.1098000000000E+04
2457222.39011,   1.0908000000000E+04
2457222.3908,   1.0898000000000E+04
2457222.39149,   1.0949000000000E+04
2457222.39218,   1.0969000000000E+04
2457222.39287,   1.0961000000000E+04
2457222.39356,   1.0933000000000E+04
2457222.39424,   1.1300000000000E+04
2457222.39493,   1.0835000000000E+04
2457222.39562,   1.0893000000000E+04
2457222.39631,   1.1250000000000E+04
2457222.397,   1.1142000000000E+04
2457222.39769,   1.1123000000000E+04
2457222.39838,   1.1135000000000E+04
2457222.39906,   1.1252000000000E+04
2457222.39975,   1.1172000000000E+04
2457222.40044,   1.1287000000000E+04
2457222.40113,   1.1083000000000E+04
2457222.40182,   1.1837000000000E+04
2457222.40251,   1.1839000000000E+04
2457222.4032,   1.1624000000000E+04
2457222.40389,   1.1595000000000E+04
2457222.40457,   1.1451000000000E+04
2457222.40526,   1.1542000000000E+04
2457222.40595,   1.1816000000000E+04
2457222.40664,   1.1783000000000E+04
2457222.40733,   1.1744000000000E+04
2457222.40802,   1.1967000000000E+04
2457222.40871,   1.1593000000000E+04
2457222.40939,   1.2182000000000E+04
2457222.41008,   1.2037000000000E+04
2457222.41077,   1.1582000000000E+04
2457222.41146,   1.1857000000000E+04
2457222.41215,   1.1975000000000E+04
2457222.41284,   1.2056000000000E+04
2457222.41353,   1.2093000000000E+04
2457222.41422,   1.2129000000000E+04
2457222.4149,   1.2360000000000E+04
2457222.41559,   1.2022000000000E+04
2457222.41628,   1.2703000000000E+04
2457222.41697,   1.2525000000000E+04
2457222.41766,   1.2566000000000E+04
2457222.41835,   1.2434000000000E+04
2457222.41904,   1.2377000000000E+04
2457222.41972,   1.2390000000000E+04
2457222.42041,   1.2599000000000E+04
2457222.4211,   1.2500000000000E+04
2457222.42179,   1.2326000000000E+04
2457222.42248,   1.2601000000000E+04
2457222.42317,   1.2946000000000E+04
2457222.42386,   1.2886000000000E+04
2457222.42455,   1.2878000000000E+04
2457222.42523,   1.2751000000000E+04
2457222.42592,   1.2771000000000E+04
2457222.42661,   1.2816000000000E+04
2457222.4273,   1.2885000000000E+04
2457222.42799,   1.2929000000000E+04
2457222.42868,   1.3192000000000E+04
2457222.42937,   1.3460000000000E+04
2457222.43005,   1.3443000000000E+04
2457222.43074,   1.3213000000000E+04
2457222.43143,   1.3267000000000E+04
2457222.43212,   1.3132000000000E+04
2457222.43281,   1.3213000000000E+04
2457222.4335,   1.3286000000000E+04
2457222.43419,   1.3210000000000E+04
2457222.43487,   1.3292000000000E+04
2457222.43556,   1.3135000000000E+04
2457222.43625,   1.3780000000000E+04
2457222.43694,   1.3768000000000E+04
2457222.43763,   1.3665000000000E+04
2457222.43832,   1.3704000000000E+04
2457222.43901,   1.3504000000000E+04
2457222.4397,   1.3546000000000E+04
2457222.44038,   1.3627000000000E+04
2457222.44107,   1.3580000000000E+04
2457222.44176,   1.3625000000000E+04
2457222.44245,   1.3943000000000E+04
2457222.44314,   1.3512000000000E+04
2457222.44383,   1.3616000000000E+04
2457222.44452,   1.3867000000000E+04
2457222.4452,   1.3936000000000E+04
2457222.44589,   1.3774000000000E+04
2457222.44658,   1.3819000000000E+04
2457222.44727,   1.4018000000000E+04
2457222.44796,   1.4032000000000E+04
2457222.44865,   1.3957000000000E+04
2457222.44934,   1.4190000000000E+04
2457222.45003,   1.3826000000000E+04
2457222.45071,   1.3865000000000E+04
2457222.4514,   1.4177000000000E+04
2457222.45209,   1.4175000000000E+04
2457222.45278,   1.4048000000000E+04
2457222.45347,   1.4070000000000E+04
2457222.45416,   1.4116000000000E+04
2457222.45485,   1.4108000000000E+04
2457222.45553,   1.4344000000000E+04
2457222.45622,   1.3943000000000E+04
2457222.45691,   1.4542000000000E+04
2457222.4576,   1.4050000000000E+04
2457222.45829,   1.4343000000000E+04
2457222.45898,   1.4519000000000E+04
2457222.45967,   1.4227000000000E+04
2457222.46036,   1.4364000000000E+04
2457222.46104,   1.4273000000000E+04
2457222.46173,   1.4291000000000E+04
2457222.46242,   1.4305000000000E+04
2457222.46311,   1.4646000000000E+04
2457222.4638,   1.4305000000000E+04
2457222.46449,   1.4870000000000E+04
2457222.46518,   1.4450000000000E+04
2457222.46586,   1.4756000000000E+04
2457222.46655,   1.4483000000000E+04
2457222.46724,   1.4456000000000E+04
2457222.46793,   1.4513000000000E+04
2457222.46862,   1.4800000000000E+04
2457222.46931,   1.4666000000000E+04
2457222.47,   1.4840000000000E+04
2457222.47069,   1.4439000000000E+04
2457222.47137,   1.4466000000000E+04
2457222.47206,   1.4850000000000E+04
2457222.47275,   1.4936000000000E+04
2457222.47344,   1.4688000000000E+04
2457222.47413,   1.4750000000000E+04
2457222.47482,   1.4779000000000E+04
2457222.47551,   1.4734000000000E+04
2457222.47619,   1.4704000000000E+04
2457222.47688,   1.5383000000000E+04
2457222.47757,   1.4583000000000E+04
2457222.47826,   1.5070000000000E+04
2457222.47895,   1.5009000000000E+04
2457222.47964,   1.4909000000000E+04
2457222.48033,   1.5015000000000E+04
2457222.48102,   1.4819000000000E+04
2457222.4817,   1.4900000000000E+04
2457222.48239,   1.4952000000000E+04
2457222.48308,   1.4916000000000E+04
2457222.48377,   1.4915000000000E+04
2457222.48446,   1.5342000000000E+04
2457222.48515,   1.4781000000000E+04
2457222.48584,   1.5075000000000E+04
