EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220508312, 23.4186897, 6.9550381, 10.234, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220512015, 22.3464108, 7.0411692, 9.673, GO8051_LC|GO8077_LC|GO8028_LC
220517502, 23.4371166, 7.1677661, 9.646, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220523422, 18.9158573, 7.2929611, 9.542, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220526229, 15.1267881, 7.3538818, 8.052, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220531580, 15.2016678, 7.4704461, 9.767, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220532854, 15.7057009, 7.500752, 7.939, GO8077_LC|GO8031_LC|GO8028_LC|GO8080_LC
220534009, 17.9667892, 7.5280828, 10.763, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220534729, 13.6738272, 7.5455399, 9.687, GO8051_LC|GO8077_LC|GO8028_LC
220539101, 15.9128838, 7.6459842, 10.532, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220541307, 22.7867813, 7.6957979, 9.72, GO8051_LC|GO8077_LC|GO8028_LC
220542353, 14.7445202, 7.7193332, 8.837, GO8051_LC|GO8077_LC|GO8028_LC
220542420, 10.0743427, 7.720438, 9.501, GO8077_LC|GO8066_LC|GO8028_LC
220544741, 11.0822582, 7.7707472, 8.536, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8031_LC|GO8028_LC
220547159, 11.9689178, 7.8243999, 10.723, GO8032_LC|GO8077_LC|GO8050_LC|GO8028_LC
220547242, 15.6413898, 7.8263869, 10.193, GO8077_LC|GO8028_LC
220547698, 18.5767117, 7.836298, 10.005, GO8077_LC|GO8028_LC
220549542, 16.7278156, 7.8815322, 10.031, GO8051_LC|GO8032_LC|GO8077_LC|GO8033_LC|GO8028_LC
220559705, 9.9273653, 8.1228056, 8.232, GO8051_LC|GO8032_LC|GO8077_LC|GO8040_LC|GO8028_LC
220564271, 9.879611, 8.2262173, 9.41, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220564760, 14.721179, 8.2377748, 11.331, GO8032_LC|GO8077_LC|GO8028_LC
220564784, 14.4583511, 8.2383537, 10.563, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220567143, 16.6798668, 8.2951632, 10.348, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220567681, 11.7235842, 8.3079777, 9.678, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220572224, 11.8478069, 8.4204998, 10.081, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220574573, 16.6098366, 8.474946, 10.077, GO8068_LC|GO8032_LC|GO8077_LC|GO8028_LC
220578998, 10.7676954, 8.573926, 8.834, GO8077_LC|GO8050_LC|GO8031_LC|GO8028_LC
220580848, 17.3483562, 8.6136198, 9.669, GO8028_LC
220581311, 11.7962713, 8.6232567, 10.895, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220582710, 16.7245216, 8.6523409, 8.03, GO8077_LC|GO8031_LC|GO8028_LC
220585602, 10.70397, 8.7148209, 9.547, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8028_LC
220589164, 15.8634233, 8.7900658, 9.453, GO8077_LC|GO8050_LC|GO8028_LC
220592791, 16.675024, 8.8687496, 7.699, GO8077_LC|GO8031_LC|GO8028_LC
220600233, 11.2112951, 9.0304384, 10.879, GO8051_LC|GO8077_LC|GO8028_LC
220607132, 10.4832458, 9.1826973, 9.547, GO8077_LC|GO8028_LC|GO8080_LC
220610198, 12.4918499, 9.2495794, 10.121, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220611790, 15.4950237, 9.2870665, 10.39, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220617446, 12.5386906, 9.4166737, 13.033, GO8028_LC
220617956, 13.6882572, 9.4287872, 8.523, GO8051_LC|GO8032_LC|GO8031_LC|GO8028_LC
220621833, 17.5750809, 9.517931, 10.419, GO8068_LC|GO8032_LC|GO8077_LC|GO8028_LC
220621919, 14.3700008, 9.519722, 8.947, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8002_LC|GO8028_LC
220623878, 12.6575937, 9.5642796, 9.998, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220625064, 16.8040791, 9.5931349, 10.497, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220631213, 17.2327538, 9.7305059, 7.432, GO8077_LC|GO8031_LC|GO8028_LC|GO8080_LC
220633563, 18.9447308, 9.7848692, 7.156, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220638143, 17.106741, 9.8919907, 10.935, GO8068_LC|GO8032_LC|GO8077_LC|GO8028_LC
220638706, 14.0551662, 9.9048986, 9.932, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220641886, 11.8717499, 9.9821377, 10.397, GO8004_LC|GO8007_LC|GO8028_LC|GO8004_SC|GO8007_SC
220650301, 12.9246655, 10.1859465, 10.735, GO8051_LC|GO8077_LC|GO8028_LC
220654512, 13.4205084, 10.2911034, 9.994, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220659394, 12.63906, 10.4115763, 9.034, GO8077_LC|GO8050_LC|GO8028_LC
220662081, 20.8802052, 10.4803581, 10.416, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220666790, 19.3069534, 10.5966663, 8.535, GO8051_LC|GO8077_LC|GO8002_LC|GO8028_LC
220666988, 13.0316687, 10.6008844, 9.312, GO8028_LC
220673452, 15.5223141, 10.7585287, 10.675, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220674335, 18.8482704, 10.7821589, 9.938, GO8051_LC|GO8077_LC|GO8028_LC
220678747, 19.2058582, 10.8960276, 10.581, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220679442, 13.1750755, 10.9139347, 10.161, GO8028_LC|GO8080_LC
220681102, 19.9147892, 10.9576759, 8.791, GO8051_LC|GO8032_LC|GO8077_LC|GO8002_LC|GO8028_LC
220682692, 18.4565353, 10.9998999, 9.778, GO8077_LC|GO8028_LC|GO8080_LC
220683262, 18.3056087, 11.0149775, 10.451, GO8077_LC|GO8066_LC|GO8028_LC
220686714, 15.2796707, 11.1062784, 9.925, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220689701, 18.0024109, 11.1874952, 9.557, GO8051_LC|GO8077_LC|GO8028_LC
220691009, 18.5432301, 11.2253399, 10.844, GO8077_LC|GO8028_LC
220692299, 20.049942, 11.260664, 9.837, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8028_LC
220694311, 16.289999, 11.3158169, 8.045, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220694979, 16.9200439, 11.3341322, 9.099, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220699039, 19.6353912, 11.4457293, 10.204, GO8051_LC|GO8077_LC|GO8028_LC
