EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
231024140, 257.165285, -25.306905, 11.276, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
231031639, 257.137257, -25.260985, 10.873, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
231090900, 255.196099, -24.884019, 10.602, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
231096122, 255.264562, -24.84961, 10.465, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11019_LC
231138330, 256.623105, -24.568683, 10.276, GO11123_LC|GO11098_LC
231143950, 256.755406, -24.531232, 10.907, GO11071_LC|GO11122_LC|GO11098_LC
231144616, 256.70078, -24.526726, 10.695, GO11123_LC|GO11098_LC
231149876, 256.701062, -24.490901, 10.821, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
231169792, 257.352038, -24.351821, 11.464, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
231186779, 257.618795, -24.231913, 9.975, GO11123_LC|GO11098_LC
231190484, 257.580594, -24.205324, 10.936, GO11123_LC|GO11098_LC
231190540, 256.962844, -24.204856, 10.783, GO11123_LC|GO11098_LC
231190891, 257.042186, -24.202401, 11.377, GO11123_LC|GO11098_LC
231192714, 256.22761, -24.189944, 10.414, GO11123_LC|GO11098_LC
231200831, 256.244485, -24.131612, 10.897, GO11123_LC|GO11098_LC
231328037, 257.973835, -23.181302, 11.406, GO11098_LC
231379838, 256.89035, -22.719538, 10.62, GO11098_LC
231380348, 256.821788, -22.714521, 10.78, GO11002_LC|GO11098_LC|GO11036_LC|GO11019_LC
231383701, 256.559567, -22.682588, 11.127, GO11098_LC|GO11024_LC
231390268, 256.568973, -22.61886, 11.677, GO11071_LC|GO11122_LC|GO11098_LC
231452166, 256.726858, -22.008937, 11.321, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11050_LC
231524268, 256.810103, -29.721764, 11.246, GO11122_LC|GO11098_LC
231645258, 257.153543, -29.23298, 11.087, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
231648517, 256.992757, -29.219775, 10.995, GO11122_LC|GO11098_LC|GO11038_LC
231651782, 257.174898, -29.20654, 11.454, GO11071_LC|GO11122_LC|GO11098_LC
231654129, 257.612347, -29.197021, 10.377, GO11122_LC|GO11098_LC
231656112, 257.650042, -29.189319, 10.017, GO11098_LC
231656955, 257.076862, -29.185804, 11.087, GO11098_LC|GO11038_LC
231684976, 257.140549, -29.073515, 10.236, GO11098_LC
231691270, 257.807432, -29.047955, 11.451, GO11122_LC|GO11098_LC
231710463, 257.823195, -28.969924, 11.381, GO11071_LC|GO11122_LC|GO11098_LC
231733245, 254.327421, -28.877182, 10.828, GO11098_LC
231735987, 254.407602, -28.866012, 10.481, GO11098_LC
231846437, 255.112009, -28.40734, 10.974, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
231856972, 254.024585, -28.363482, 10.588, GO11097_LC|GO11122_LC|GO11002_LC|GO11098_LC|GO11024_LC|GO11097_SC
231861473, 255.144413, -28.344686, 10.453, GO11071_LC|GO11122_LC|GO11098_LC
231863188, 257.058573, -28.337462, 9.687, GO11098_LC
231878398, 257.084836, -28.273644, 11.064, GO11098_LC
231904149, 255.500963, -28.163896, 10.867, GO11122_LC|GO11098_LC|GO11038_LC
231923347, 255.487473, -28.08219, 10.722, GO11122_LC|GO11098_LC
231925013, 257.682989, -28.07493, 11.29, GO11122_LC|GO11098_LC
231927507, 257.752054, -28.06433, 10.657, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
231930630, 257.168917, -28.051077, 12.041, GO11123_LC|GO11048_LC|GO11098_LC
231931561, 257.167215, -28.047221, 10.717, GO11098_LC
