MORC to RA, DEC conversion for the 4 Seasons of Kepler	
Jeffrey Van Cleve & Steve Bryson, Kepler Science Office	
07/08/09                                                                    Spring                            Summer                           Fall                         Winter                         Spring, again
      mod             out              row              column        RA              DEC              RA             DEC             RA              DEC              RA             DEC               RA              DEC     
   6.0000000e+00   2.0000000e+00   1.0380000e+03   1.1060000e+03   2.8255731e+02   4.7424312e+01   2.8655576e+02   3.8942947e+01   2.9793760e+02   4.1059970e+01   2.9563030e+02   4.9878809e+01   2.8255731e+02   4.7424315e+01
   6.0000000e+00   3.0000000e+00   2.5000000e+01   1.7000000e+01   2.8003652e+02   4.7589946e+01   2.8619809e+02   3.7255575e+01   3.0008706e+02   4.0532224e+01   2.9638649e+02   5.1521092e+01   2.8003652e+02   4.7589950e+01
   6.0000000e+00   3.0000000e+00   2.5000000e+01   1.1060000e+03   2.8140892e+02   4.8366128e+01   2.8529902e+02   3.8225543e+01   2.9868438e+02   3.9984166e+01   2.9729586e+02   5.0463400e+01   2.8140892e+02   4.8366132e+01
   6.0000000e+00   3.0000000e+00   5.3500000e+02   5.5000000e+02   2.8124091e+02   4.7540138e+01   2.8633837e+02   3.8062114e+01   2.9905967e+02   4.0767154e+01   2.9605380e+02   5.0734172e+01   2.8124091e+02   4.7540141e+01
   6.0000000e+00   3.0000000e+00   1.0380000e+03   1.7000000e+01   2.8109976e+02   4.6736152e+01   2.8734641e+02   3.7906178e+01   2.9941797e+02   4.1530513e+01   2.9482839e+02   5.0973146e+01   2.8109975e+02   4.6736155e+01
   6.0000000e+00   3.0000000e+00   1.0380000e+03   1.1060000e+03   2.8246642e+02   4.7499642e+01   2.8645482e+02   3.8885665e+01   2.9799882e+02   4.0974441e+01   2.9576147e+02   4.9926879e+01   2.8246642e+02   4.7499644e+01
   6.0000000e+00   4.0000000e+00   2.5000000e+01   1.7000000e+01   2.8283846e+02   4.9132565e+01   2.8436694e+02   3.9198547e+01   2.9729013e+02   3.9414250e+01   2.9817303e+02   4.9387851e+01   2.8283846e+02   4.9132568e+01
   6.0000000e+00   4.0000000e+00   2.5000000e+01   1.1060000e+03   2.8142301e+02   4.8373885e+01   2.8528981e+02   3.8235312e+01   2.9867032e+02   3.9978544e+01   2.9730484e+02   5.0452674e+01   2.8142300e+02   4.8373889e+01
   6.0000000e+00   4.0000000e+00   5.3500000e+02   5.5000000e+02   2.8267526e+02   4.8325534e+01   2.8540214e+02   3.9064270e+01   2.9761611e+02   4.0188887e+01   2.9698323e+02   4.9645075e+01   2.8267526e+02   4.8325537e+01
   6.0000000e+00   4.0000000e+00   1.0380000e+03   1.7000000e+01   2.8388741e+02   4.8253854e+01   2.8552904e+02   3.9867986e+01   2.9658976e+02   4.0395408e+01   2.9666357e+02   4.8862756e+01   2.8388741e+02   4.8253857e+01
   6.0000000e+00   4.0000000e+00   1.0380000e+03   1.1060000e+03   2.8248044e+02   4.7507274e+01   2.8644569e+02   3.8895529e+01   2.9798460e+02   4.0968733e+01   2.9577070e+02   4.9916268e+01   2.8248043e+02   4.7507276e+01
   7.0000000e+00   1.0000000e+00   2.5000000e+01   1.7000000e+01   2.8535348e+02   4.6875083e+01   2.8737153e+02   4.0820522e+01   2.9554481e+02   4.1898684e+01   2.9439913e+02   4.8072086e+01   2.8535348e+02   4.6875084e+01
   7.0000000e+00   1.0000000e+00   2.5000000e+01   1.1060000e+03   2.8638895e+02   4.5907561e+01   2.8868302e+02   4.1506985e+01   2.9473191e+02   4.2940697e+01   2.9286370e+02   4.7454970e+01   2.8638895e+02   4.5907562e+01
   7.0000000e+00   1.0000000e+00   5.3500000e+02   5.5000000e+02   2.8521141e+02   4.6066873e+01   2.8843340e+02   4.0694986e+01   2.9581458e+02   4.2687890e+01   2.9320998e+02   4.8255428e+01   2.8521141e+02   4.6066874e+01
   7.0000000e+00   1.0000000e+00   1.0380000e+03   1.7000000e+01   2.8405863e+02   4.6198360e+01   2.8821169e+02   3.9903261e+01   2.9686262e+02   4.2443826e+01   2.9353961e+02   4.9035161e+01   2.8405863e+02   4.6198361e+01
   7.0000000e+00   1.0000000e+00   1.0380000e+03   1.1060000e+03   2.8510377e+02   4.5241773e+01   2.8951465e+02   4.0580152e+01   2.9606523e+02   4.3495873e+01   2.9198471e+02   4.8406584e+01   2.8510377e+02   4.5241774e+01
   7.0000000e+00   2.0000000e+00   2.5000000e+01   1.7000000e+01   2.8739799e+02   4.4920729e+01   2.9003646e+02   4.2184419e+01   2.9388320e+02   4.3987525e+01   2.9134899e+02   4.6811821e+01   2.8739799e+02   4.4920729e+01
   7.0000000e+00   2.0000000e+00   2.5000000e+01   1.1060000e+03   2.8639923e+02   4.5897734e+01   2.8869642e+02   4.1513844e+01   2.9472356e+02   4.2951200e+01   2.9284837e+02   4.7448632e+01   2.8639922e+02   4.5897735e+01
   7.0000000e+00   2.0000000e+00   5.3500000e+02   5.5000000e+02   2.8626612e+02   4.5069442e+01   2.8979620e+02   4.1390288e+01   2.9496960e+02   4.3765241e+01   2.9163519e+02   4.7602345e+01   2.8626612e+02   4.5069442e+01
   7.0000000e+00   2.0000000e+00   1.0380000e+03   1.7000000e+01   2.8612415e+02   4.4266145e+01   2.9085755e+02   4.1248701e+01   2.9523116e+02   4.4552744e+01   2.9045322e+02   4.7750932e+01   2.8612415e+02   4.4266145e+01
   7.0000000e+00   2.0000000e+00   1.0380000e+03   1.1060000e+03   2.8511415e+02   4.5232058e+01   2.8952795e+02   4.0586918e+01   2.9605703e+02   4.3506476e+01   2.9196919e+02   4.8400126e+01   2.8511415e+02   4.5232059e+01
   7.0000000e+00   3.0000000e+00   2.5000000e+01   1.7000000e+01   2.8477235e+02   4.3539808e+01   2.9172265e+02   4.0225761e+01   2.9672504e+02   4.5147993e+01   2.8944353e+02   4.8762954e+01   2.8477235e+02   4.3539808e+01
   7.0000000e+00   3.0000000e+00   2.5000000e+01   1.1060000e+03   2.8375385e+02   4.4493687e+01   2.9040469e+02   3.9574656e+01   2.9753148e+02   4.4091295e+01   2.9097712e+02   4.9424618e+01   2.8375385e+02   4.4493688e+01
   7.0000000e+00   3.0000000e+00   5.3500000e+02   5.5000000e+02   2.8490315e+02   4.4348525e+01   2.9067494e+02   4.0382065e+01   2.9643095e+02   4.4361120e+01   2.9065714e+02   4.8617920e+01   2.8490315e+02   4.4348525e+01
   7.0000000e+00   3.0000000e+00   1.0380000e+03   1.7000000e+01   2.8601689e+02   4.4208103e+01   2.9092856e+02   4.1168576e+01   2.9534752e+02   4.4601769e+01   2.9037300e+02   4.7830741e+01   2.8601689e+02   4.4208103e+01
   7.0000000e+00   3.0000000e+00   1.0380000e+03   1.1060000e+03   2.8500732e+02   4.5173777e+01   2.8959898e+02   4.0508507e+01   2.9617072e+02   4.3554082e+01   2.9189129e+02   4.8480070e+01   2.8500732e+02   4.5173777e+01
   7.0000000e+00   4.0000000e+00   2.5000000e+01   1.7000000e+01   2.8269150e+02   4.5448080e+01   2.8909816e+02   3.8902637e+01   2.9831654e+02   4.3018087e+01   2.9256857e+02   5.0071310e+01   2.8269150e+02   4.5448082e+01
   7.0000000e+00   4.0000000e+00   2.5000000e+01   1.1060000e+03   2.8374339e+02   4.4503282e+01   2.9039150e+02   3.9568002e+01   2.9753948e+02   4.4080586e+01   2.9099283e+02   4.9431197e+01   2.8374339e+02   4.4503282e+01
   7.0000000e+00   4.0000000e+00   5.3500000e+02   5.5000000e+02   2.8383945e+02   4.5334076e+01   2.8932243e+02   3.9698073e+01   2.9725664e+02   4.3272571e+01   2.9225227e+02   4.9283310e+01   2.8383945e+02   4.5334077e+01
   7.0000000e+00   4.0000000e+00   1.0380000e+03   1.7000000e+01   2.8395239e+02   4.6139880e+01   2.8828256e+02   3.9826624e+01   2.9697357e+02   4.2490009e+01   2.9346428e+02   4.9115143e+01   2.8395239e+02   4.6139881e+01
   7.0000000e+00   4.0000000e+00   1.0380000e+03   1.1060000e+03   2.8499695e+02   4.5183490e+01   2.8958568e+02   4.0501759e+01   2.9617889e+02   4.3543465e+01   2.9190684e+02   4.8486529e+01   2.8499695e+02   4.5183490e+01
   8.0000000e+00   1.0000000e+00   2.5000000e+01   1.7000000e+01   2.8774985e+02   4.4558648e+01   2.9053700e+02   4.2422118e+01   2.9357369e+02   4.4367345e+01   2.9080592e+02   4.6577717e+01   2.8774985e+02   4.4558648e+01
   8.0000000e+00   1.0000000e+00   2.5000000e+01   1.1060000e+03   2.8870284e+02   4.3570014e+01   2.9191632e+02   4.3070348e+01   2.9269278e+02   4.5395186e+01   2.8935451e+02   4.5915339e+01   2.8870284e+02   4.3570014e+01
   8.0000000e+00   1.0000000e+00   5.3500000e+02   5.5000000e+02   2.8757894e+02   4.3753730e+01   2.9161817e+02   4.2266181e+01   2.9382953e+02   4.5160959e+01   2.8963946e+02   4.6725283e+01   2.8757894e+02   4.3753730e+01
