#cadence number, black residual [ADU/LC/pixel]
141940, -4.859428
141941, -4.934202
141942, -4.823517
141943, -3.667476
141944, -3.851951
141945, -4.765961
141946, -4.389141
141947, -4.575053
141948, -4.314367
141949, -4.127925
141950, -3.867201
141951, -1.626961
141952, -3.987724
141953, -4.381270
141954, -2.856280
141955, -4.196303
141956, -5.449747
141957, -3.835225
141958, -4.732510
141959, -3.514485
141960, -4.209586
141961, -3.431841
141962, -3.313285
141963, -4.297642
141964, -4.768913
141965, -4.242053
141966, -4.616906
141967, -4.087094
141968, -7.077551
141969, -4.771372
141970, -6.821720
141971, -4.937154
141972, -4.733494
141973, -5.498940
141974, -4.489987
141975, -4.607067
141976, -5.692270
141977, -5.153604
141978, -3.776685
141979, -3.881600
141980, -5.273635
141981, -4.976016
141982, -4.922887
141983, -4.514584
141984, -4.789574
141985, -4.184989
141986, -5.214603
141987, -3.438148
141988, -5.088669
141989, -4.853525
141990, -8.255922
141991, -1.196213
141992, -4.771372
141993, -5.179676
141994, -5.231329
141995, -5.140322
141996, -5.830503
141997, -3.054037
141998, -5.677512
141999, -5.723261
142000, -4.703486
142001, -5.979066
142002, -4.402915
142003, -4.479165
142004, -3.524816
142005, -4.426528
142006, -5.621431
142007, -4.148094
142008, -1.388729
142009, -4.668803
142010, -3.979361
142011, -6.430660
142012, -6.543804
142013, -4.079715
142014, -3.393505
142015, -3.967063
142016, -4.113167
142017, -4.300101
142018, -6.179775
142019, -4.245989
142020, -3.785540
142021, -4.281900
142022, -5.645536
142023, -5.305119
142024, -4.265666
142025, -4.395044
142026, -4.671510
142027, NaN
142028, -5.862970
142029, -5.305611
142030, -4.031014
142031, -4.445713
142032, -2.804135
142033, -6.541345
142034, -5.389731
142035, -4.005434
142036, -6.160097
142037, -5.445812
142038, -5.240184
142039, -1.639283
142040, -5.507303
142041, -5.810825
142042, -5.022750
142043, -4.727590
142044, -6.599393
142045, -4.463915
142046, -5.576174
142047, -4.349294
142048, -4.977984
142049, -5.448763
142050, -6.347032
142051, -6.327846
142052, -4.433907
142053, -5.538295
142054, -5.598311
142055, -4.351262
142056, -4.689220
142057, -5.537803
142058, -5.196894
142059, -5.295772
142060, -4.272061
142061, -4.876154
142062, -5.432529
142063, -6.070588
142064, -4.612970
142065, -5.840341
142066, -6.338177
142067, -5.468440
142068, -4.552954
142069, -4.115627
142070, -8.205247
142071, -5.160491
142072, -4.643470
142073, -2.445130
142074, -8.239191
142075, -4.680365
142076, -4.026587
142077, -6.119759
142078, -4.591325
142079, -4.228279
142080, -5.862255
142081, -5.284874
142082, -8.004313
142083, -4.811219
142084, -6.046461
142085, -5.368086
142086, -6.350967
142087, -2.327267
142088, -6.735658
142089, -8.014770
142090, -2.080405
142091, -4.990774
142092, -6.576272
142093, -4.370939
142094, -5.708995
142095, -4.106772
142096, -3.797838
142097, -4.341915
142098, -4.914525
142099, -4.226311
142100, -6.776488
142101, -5.770979
142102, -7.307283
142103, -4.186465
142104, -5.246087
142105, -5.348901
142106, -5.500908
142107, -7.916315
142108, -5.942171
142109, -6.770093
142110, -5.363659
142111, -5.256418
142112, -5.286425
142113, -5.867889
142114, -8.630279
142115, -1.776090
142116, -4.896323
142117, -7.541154
142118, -4.536721
142119, -4.491955
142120, -5.134418
142121, -6.161081
142122, -6.765666
142123, NaN
142124, -6.218145
142125, -2.705174
142126, -4.654292
142127, -5.412852
142128, -6.288984
142129, -6.965390
142130, -7.971817
142131, -6.467555
142132, -4.722671
142133, -5.922986
142134, -4.701026
142135, -5.346441
142136, -5.696205
142137, -5.223950
142138, -6.531998
142139, -5.900357
142140, -4.740873
142141, -5.425150
142142, -6.261435
142143, -6.092910
142144, -5.301243
142145, -4.485560
142146, -6.248153
142147, -5.015863
142148, -6.128614
142149, -4.741856
142150, -7.037704
142151, -5.946599
142152, -4.327157
142153, -5.863954
142154, -5.964308
142155, -6.407047
142156, -8.191778
142157, -5.771471
142158, -6.350967
142159, -5.992348
142160, -6.802561
142161, -6.508385
142162, -7.002777
142163, -10.687229
142164, -6.070566
142165, -4.295291
142166, -3.178496
142167, -5.865430
142168, -3.933612
142169, -5.937252
142170, -5.686660
142171, -6.441974
142172, -5.841817
142173, -5.530424
142174, -4.299117
142175, -4.885009
142176, -5.737527
142177, -7.314662
142178, -6.182726
142179, -5.927413
142180, -4.014041
142181, -5.671608
142182, -5.998743
142183, -8.276882
142184, -4.391601
142185, -9.912132
142186, -5.918558
142187, -5.970886
142188, -5.223458
142189, -5.869857
142190, -5.991364
142191, -6.895044
142192, -10.697042
142193, -5.513698
142194, -5.732116
142195, -6.161573
142196, -4.865823
