EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220196759, 14.235178, -0.125304, 15.636, GO8056_LC|GO8031_LC
220196926, 15.4387932, -0.119335, 16.272, GO8056_LC
220197004, 18.1255932, -0.116714, 15.683, GO8056_LC|GO8031_LC
220197042, 15.5559616, -0.115088, 14.829, GO8056_LC|GO8031_LC
220197043, 17.100647, -0.115064, 15.914, GO8056_LC|GO8031_LC
220197126, 17.4664154, -0.111881, 16.17, GO8056_LC
220197249, 17.5767097, -0.106383, 16.326, GO8056_LC
220197382, 12.2229004, -0.101391, 15.28, GO8056_LC|GO8031_LC
220197456, 15.4285278, -0.098163, 16.265, GO8056_LC
220197545, 11.8055353, -0.094262, 16.17, GO8056_LC
220197598, 16.7970963, -0.091891, 16.189, GO8056_LC
220197687, 17.8220501, -0.088732, 14.522, GO8056_LC|GO8032_LC
220197813, 17.0348339, -0.084362, 16.155, GO8056_LC
220197846, 19.2387524, -0.083348, 16.399, GO8056_LC
220197874, 15.469718, -0.08236, 15.82, GO8056_LC|GO8031_LC
220198242, 20.2382336, -0.068024, 16.476, GO8056_LC
220198434, 19.2234688, -0.060751, 16.229, GO8056_LC
220198475, 17.9842052, -0.059074, 16.369, GO8056_LC
220198839, 15.3605022, -0.04581, 15.531, GO8056_LC|GO8032_LC
220198882, 19.8793812, -0.044019, 14.477, GO8056_LC|GO8013_LC|GO8059_LC|GO8031_LC
220198951, 19.8749161, -0.041442, 13.559, GO8056_LC|GO8013_LC|GO8012_LC|GO8032_LC|GO8059_LC|GO8042_LC
220199072, 20.2614746, -0.037095, 16.187, GO8056_LC
220199235, 20.2415543, -0.031578, 15.625, GO8056_LC|GO8031_LC
220199841, 19.7414284, -0.009761, 15.443, GO8056_LC|GO8031_LC
220200063, 19.7974434, -0.000775, 15.754, GO8056_LC|GO8031_LC
220200210, 18.9418564, 0.004448, 13.341, GO8056_LC|GO8032_LC|GO8059_LC|GO8042_LC
220200375, 12.538064, 0.009729, 16.253, GO8056_LC
220200445, 13.7743492, 0.012115, 16.453, GO8056_LC
220200515, 13.7115393, 0.014996, 13.945, GO8056_LC|GO8032_LC|GO8042_LC
220201062, 19.7098389, 0.033719, 16.35, GO8056_LC
220201150, 20.2467995, 0.036958, 15.26, GO8056_LC|GO8031_LC
220201665, 12.3683052, 0.055837, 15.816, GO8056_LC|GO8031_LC
220201779, 15.642683, 0.059603, 15.624, GO8056_LC|GO8031_LC
220201831, 13.8756523, 0.061503, 16.316, GO8056_LC
220201965, 13.0941029, 0.066554, 15.942, GO8056_LC|GO8031_LC
220202003, 13.1897202, 0.068014, 15.4, GO8056_LC|GO8032_LC
220202023, 13.2363853, 0.068821, 16.281, GO8056_LC
220202221, 13.5437679, 0.07688, 16.263, GO8056_LC
220202259, 17.0356922, 0.078088, 15.036, GO8056_LC|GO8032_LC
220202463, 15.1341667, 0.085071, 15.252, GO8056_LC|GO8031_LC
220202718, 20.6044903, 0.093734, 14.414, GO8056_LC|GO8031_LC
220202787, 13.7329693, 0.096148, 15.472, GO8056_LC|GO8031_LC
220202800, 19.4937744, 0.096576, 14.088, GO8056_LC|GO8032_LC|GO8042_LC
220202842, 13.1149063, 0.098142, 15.098, GO8056_LC|GO8032_LC
220202916, 17.1397038, 0.100848, 16.05, GO8056_LC
220203481, 15.6685028, 0.119862, 15.055, GO8056_LC|GO8042_LC
220203579, 20.7663059, 0.123435, 16.45, GO8056_LC
220203606, 13.6819925, 0.124904, 15.936, GO8056_LC|GO8031_LC
220204209, 20.9964256, 0.144937, 16.273, GO8056_LC
220204275, 12.4828968, 0.147072, 15.604, GO8056_LC|GO8031_LC
220204353, 17.4844608, 0.150054, 15.825, GO8056_LC|GO8031_LC
220204443, 15.0300741, 0.153162, 15.911, GO8056_LC|GO8031_LC
220204487, 14.1825323, 0.154927, 16.29, GO8056_LC
220205333, 12.7924366, 0.185311, 16.177, GO8056_LC
220205364, 17.9322872, 0.18665, 15.505, GO8056_LC|GO8031_LC
220205377, 17.3622952, 0.187177, 15.963, GO8056_LC
220205749, 18.8024597, 0.200225, 15.821, GO8056_LC|GO8031_LC
220206020, 20.0898514, 0.209511, 15.882, GO8056_LC
220206148, 15.593873, 0.214124, 16.268, GO8056_LC
220206196, 19.0003223, 0.215914, 16.19, GO8056_LC
220206209, 19.8746681, 0.216446, 15.828, GO8056_LC|GO8031_LC
220206241, 12.7107773, 0.217586, 16.092, GO8056_LC
220206572, 20.8055954, 0.22952, 12.07, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220206839, 13.2841358, 0.239514, 15.639, GO8056_LC|GO8031_LC
220207170, 18.4777756, 0.251681, 16.328, GO8056_LC
220207312, 19.6758461, 0.257205, 15.373, GO8056_LC|GO8031_LC
220207378, 17.4291153, 0.259614, 16.264, GO8056_LC
220207633, 19.3373661, 0.269326, 15.428, GO8056_LC|GO8031_LC
220207756, 14.0113049, 0.274119, 14.908, GO8056_LC|GO8031_LC
220207911, 17.4391937, 0.279632, 15.923, GO8056_LC|GO8031_LC
