# Summary of K2 Program GO17063

Title: The K2 M Dwarf Project

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: Ian Crossfield (MIT), Joshua Schlieder (NASA Goddard), Kevin Hardegree-Ullman(University of Toledo), Jessie Christiansen (NExScI/IPAC), Erik Petigura (Caltech)



# Targets requested by this program that have been observed (3210)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212453546, 199.4061127, -13.7257423, 17.29, GO17063_LC
212453637, 198.4858246, -13.7238331, 16.861, GO17063_LC
212453758, 199.862793, -13.721508, 17.138, GO17063_LC
212453811, 205.66922, -13.7201128, 16.148, GO17063_LC|GO17068_LC
212453834, 201.5473633, -13.7196712, 14.281, GO17049_LC|GO17063_LC|GO17068_LC
212454011, 203.8689728, -13.7157927, 15.073, GO17063_LC|GO17068_LC
212454422, 198.5531464, -13.7068777, 16.899, GO17027_LC|GO17048_LC|GO17063_LC|GO17027_SC
212454427, 198.7021179, -13.7068071, 17.476, GO17063_LC
212454558, 205.5109253, -13.7038565, 16.562, GO17063_LC
212454606, 199.8562927, -13.7026339, 13.641, GO17049_LC|GO17063_LC|GO17068_LC
212454616, 197.7255707, -13.702445, 13.771, GO17049_LC|GO17063_LC|GO17068_LC
212454805, 198.2536163, -13.6986542, 16.223, GO17063_LC
212455068, 198.5189362, -13.6932631, 13.456, GO17049_LC|GO17063_LC|GO17068_LC
212455088, 198.9722443, -13.6929331, 14.437, GO17063_LC|GO17068_LC
212455285, 197.8975525, -13.6889458, 16.714, GO17063_LC
212455457, 201.4532166, -13.6851559, 13.846, GO17049_LC|GO17063_LC|GO17068_LC
212455582, 200.9659271, -13.6821432, 14.534, GO17063_LC|GO17068_LC
212455656, 201.1257324, -13.6809673, 15.463, GO17063_LC|GO17068_LC
212456147, 202.7017059, -13.6694698, 15.972, GO17063_LC|GO17068_LC
212456469, 205.4660339, -13.6618605, 15.71, GO17063_LC|GO17068_LC
212456592, 202.8374634, -13.6590376, 17.629, GO17063_LC
212456606, 200.8065491, -13.6586456, 14.398, GO17063_LC|GO17068_LC
212456647, 200.8978271, -13.6578197, 16.124, GO17063_LC|GO17068_LC
212456707, 199.6144562, -13.6562223, 16.369, GO17063_LC
212456893, 199.5921326, -13.6520386, 17.663, GO17063_LC
212456987, 197.8585052, -13.6503057, 16.598, GO17063_LC
212457431, 199.2674561, -13.6407461, 16.296, GO17063_LC
212457557, 202.6375275, -13.6386156, 12.505, GO17026_LC|GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212458020, 202.3795013, -13.6286459, 14.555, GO17063_LC|GO17068_LC
212458450, 202.0848846, -13.6199093, 16.607, GO17063_LC
212458475, 199.6899414, -13.6194963, 14.745, GO17063_LC|GO17068_LC
212458505, 201.8044891, -13.6188583, 16.749, GO17063_LC
212458603, 197.7343292, -13.6168127, 16.659, GO17063_LC
212458609, 197.894928, -13.6166496, 17.308, GO17063_LC
212459283, 198.7096405, -13.6034861, 14.171, GO17063_LC|GO17068_LC
212459287, 204.668808, -13.603344, 17.335, GO17063_LC
212459341, 198.0332489, -13.6021996, 17.142, GO17063_LC
212459441, 198.157074, -13.5999556, 14.179, GO17011_LC|GO17063_LC|GO17068_LC
212459561, 204.307251, -13.5975533, 16.448, GO17063_LC
212459836, 200.5602417, -13.5915976, 17.67, GO17063_LC
212459931, 202.6504669, -13.589673, 17.185, GO17063_LC
212459981, 200.8592224, -13.588645, 16.659, GO17063_LC
212460315, 203.6877594, -13.5819187, 17.004, GO17063_LC
212460367, 198.5693054, -13.5806398, 16.158, GO17063_LC|GO17068_LC
212460519, 203.5465393, -13.5769281, 12.445, GO17027_LC|GO17048_LC|GO17063_LC|GO17063_SC
212460520, 201.5809784, -13.5769243, 14.515, GO17063_LC|GO17068_LC
212460622, 197.6088715, -13.575036, 16.527, GO17063_LC
212461036, 200.4885559, -13.5660057, 17.275, GO17063_LC
