EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200161340, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161341, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161342, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161343, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161344, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161345, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161346, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161347, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161348, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161349, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161350, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161351, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161352, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161353, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161354, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161355, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161356, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161357, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161358, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161359, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161360, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161361, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161362, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161363, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161364, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161365, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161366, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161367, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161368, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161369, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161370, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161371, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161372, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161373, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161374, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161375, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161376, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161377, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161378, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161379, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161380, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161381, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161382, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161383, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161384, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161385, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161386, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161387, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161388, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161389, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161390, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161391, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161392, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161393, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161394, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161395, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
