EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
229039143, 189.651451, -0.678407, 17.633, GO10018_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229040476, 189.321121, -0.650055, 19.776, GO10006_LC
229041897, 190.02648, -0.616911, 18.217, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10902_SC|GO10048_SC
229049174, 184.147356, -0.448978, 19.768, GO10006_LC|GO10048_LC|GO10048_SC
229052153, 185.166557, -0.382992, 19.492, GO10019_LC|GO10006_LC
229056690, 187.49675, -0.287366, 17.513, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10902_SC|GO10048_SC
229057166, 186.791208, -0.277489, 19.402, GO10019_LC|GO10006_LC
229061365, 186.974004, -0.180778, 18.164, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229074452, 191.511808, 0.131973, 16.888, GO10006_LC
229081583, 189.654658, 0.311992, 19.112, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229103879, 189.582366, 0.880096, 18.881, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229105949, 189.843058, 0.930236, 19.206, GO10006_LC|GO10048_LC|GO10048_SC
229111290, 185.063598, 1.070705, 19.855, GO10006_LC
229119187, 191.410978, 1.271584, 16.64, GO10018_LC|GO10019_LC|GO10006_LC
229137289, 191.727898, 1.697639, 18.842, GO10018_LC|GO10019_LC|GO10006_LC
229146138, 187.539675, 1.907036, 18.476, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229149295, 191.292546, 1.984334, 18.468, GO10018_LC|GO10006_LC|GO10018_SC
229152706, 189.708233, 2.070921, 18.672, GO10018_LC|GO10019_LC|GO10006_LC
229154226, 185.415792, 2.110634, 18.504, GO10018_LC|GO10019_LC|GO10006_LC
229155531, 184.182204, 2.143309, 18.729, GO10018_LC|GO10006_LC
229163519, 189.055881, 2.360268, 18.276, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
229165995, 189.537969, 2.426821, 18.928, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10902_SC
229177385, 185.960878, 2.749575, 18.631, GO10006_LC|GO10052_LC
229179227, 184.429483, 2.801662, 18.663, GO10006_LC|GO10052_LC
248368936, , , , GO10006_LC
248368937, , , , GO10006_LC
248368938, , , , GO10006_LC|GO10048_LC|GO10048_SC
248368939, , , , GO10006_LC
248368940, , , , GO10006_LC
248368941, , , , GO10006_LC
248368942, , , , GO10019_LC|GO10006_LC
248368943, , , , GO10006_LC
248368944, , , , GO10006_LC
248368945, , , , GO10006_LC
248368946, , , , GO10006_LC
248368947, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248368948, , , , GO10006_LC
248368949, , , , GO10006_LC
248368950, , , , GO10006_LC
248368951, , , , GO10006_LC|GO10048_LC|GO10048_SC
248368952, , , , GO10006_LC
248368953, , , , GO10018_LC|GO10019_LC|GO10006_LC
248368954, , , , GO10006_LC
248368955, , , , GO10006_LC
248368956, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10011_LC
