EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246424431, 347.451939, -0.234459, 18.309, GO12078_LC
246424448, 352.496699, -0.234021, 18.547, GO12078_LC
246424470, 349.371797, -0.233338, 17.063, GO12078_LC
246424537, 349.502592, -0.23083, 17.651, GO12078_LC
246424726, 351.854375, -0.224524, 17.879, GO12078_LC
246425004, 351.783535, -0.216125, 18.379, GO12078_LC
246425096, 348.97367, -0.213554, 17.711, GO12078_LC
246425335, 352.879987, -0.206041, 18.259, GO12078_LC
246425445, 347.695149, -0.202413, 17.77, GO12078_LC
246425641, 348.228216, -0.196589, 18.213, GO12078_LC
246426057, 352.274682, -0.182211, 17.625, GO12078_LC
246426128, 350.269951, -0.180082, 17.6, GO12078_LC
246426230, 347.397284, -0.176377, 18.285, GO12078_LC
246426360, 352.616697, -0.171743, 17.855, GO12078_LC
246426369, 350.427528, -0.171527, 18.264, GO12078_LC
246426513, 350.12452, -0.166538, 18.265, GO12078_LC
246426546, 347.361546, -0.16554, 18.361, GO12078_LC
246426744, 352.920078, -0.159064, 18.234, GO12078_LC
246426878, 349.178933, -0.154452, 18.134, GO12078_LC
246426930, 347.092804, -0.152855, 18.344, GO12078_LC
246426995, 349.341302, -0.150689, 18.296, GO12078_LC
246427088, 347.211293, -0.147694, 18.288, GO12078_LC
246427105, 352.072507, -0.147349, 18.937, GO12078_LC
246427111, 349.005897, -0.147143, 18.399, GO12078_LC
246427255, 348.861614, -0.14194, 17.687, GO12078_LC
246427270, 349.419857, -0.141668, 17.887, GO12078_LC
246427335, 350.144892, -0.139212, 18.204, GO12078_LC
246427361, 350.70216, -0.138472, 17.921, GO12078_LC
246427379, 350.428288, -0.137671, 17.826, GO12078_LC
246427564, 350.277025, -0.131028, 18.392, GO12078_LC
246427596, 347.188651, -0.130354, 18.152, GO12078_LC
246427883, 352.119428, -0.120511, 18.478, GO12078_LC
246427934, 352.226227, -0.118918, 18.009, GO12078_LC
246428010, 347.098276, -0.116221, 17.867, GO12078_LC
246428648, 350.147816, -0.095517, 18.243, GO12078_LC
246428905, 349.032441, -0.087384, 17.664, GO12078_LC
246428953, 348.254319, -0.085806, 17.81, GO12078_LC
246429029, 348.418969, -0.0828, 18.248, GO12078_LC
246429064, 347.786701, -0.081554, 18.101, GO12078_LC
246429324, 349.119758, -0.073178, 18.231, GO12078_LC
246429350, 347.879759, -0.072398, 18.323, GO12078_LC
246429442, 349.217918, -0.068781, 18.437, GO12078_LC
246429516, 350.513194, -0.065923, 18.283, GO12078_LC
246429628, 348.503271, -0.062817, 17.97, GO12078_LC
246429706, 350.38207, -0.060065, 17.499, GO12078_LC
246429743, 346.919146, -0.058827, 18.322, GO12078_LC
246429886, 351.968346, -0.054471, 18.178, GO12078_LC
246430029, 352.591642, -0.049757, 18.25, GO12078_LC
246430038, 349.238289, -0.049631, 18.36, GO12078_LC
246430147, 349.461995, -0.046132, 18.046, GO12078_LC
246430151, 348.047294, -0.045826, 17.432, GO12078_LC
246430493, 349.264776, -0.034143, 18.26, GO12078_LC
246430499, 348.742839, -0.033831, 18.09, GO12078_LC
246430585, 349.020168, -0.031212, 18.214, GO12078_LC
246430637, 349.424766, -0.029934, 18.147, GO12078_LC
246430792, 351.806946, -0.025673, 17.869, GO12078_LC
246430828, 352.925503, -0.024233, 17.041, GO12078_LC
246431262, 349.28022, -0.01047, 18.04, GO12078_LC
246431368, 352.061707, -0.006939, 17.275, GO12078_LC
246431826, 352.402083, 0.007104, 18.321, GO12078_LC
246431998, 350.014195, 0.012846, 18.203, GO12078_LC
246432262, 347.054827, 0.021237, 18.263, GO12078_LC
246432385, 352.09421, 0.024859, 17.94, GO12078_LC
246432390, 348.500815, 0.02507, 17.426, GO12078_LC
246432393, 352.792719, 0.025146, 17.979, GO12078_LC
246432494, 350.939654, 0.028669, 18.101, GO12078_LC
246432740, 349.108528, 0.036795, 17.751, GO12078_LC
246432897, 350.063758, 0.041782, 18.384, GO12078_LC
246433135, 352.367712, 0.048051, 17.389, GO12078_LC
246433372, 352.029085, 0.055682, 17.254, GO12078_LC
246433441, 352.682601, 0.057963, 18.31, GO12078_LC
246433551, 352.009718, 0.061401, 17.738, GO12078_LC
246433751, 348.352173, 0.0671, 17.297, GO12078_LC
246433835, 352.061741, 0.0698, 18.336, GO12078_LC
246434049, 348.263332, 0.076623, 17.47, GO12078_LC
246434087, 347.272369, 0.078069, 18.258, GO12078_LC
246434094, 352.667787, 0.078203, 18.318, GO12078_LC
246434212, 350.462549, 0.081904, 17.538, GO12078_LC
246434221, 347.183568, 0.082204, 18.326, GO12078_LC
246434238, 348.766221, 0.082854, 18.485, GO12078_LC
246434597, 348.066006, 0.092948, 17.985, GO12078_LC
246434800, 348.49496, 0.099288, 17.813, GO12078_LC
246435798, 350.285928, 0.130887, 18.373, GO12078_LC
246436601, 351.090241, 0.154865, 18.012, GO12078_LC
246436778, 348.489009, 0.160696, 18.447, GO12078_LC
246436832, 348.660117, 0.16194, 17.528, GO12078_LC
246436911, 348.08065, 0.164154, 18.322, GO12078_LC
246436935, 350.279819, 0.16497, 17.706, GO12078_LC
246437024, 348.128913, 0.167264, 17.446, GO12078_LC
246437032, 348.826503, 0.167537, 17.667, GO12078_LC
246437420, 349.965019, 0.17959, 16.837, GO12078_LC
246437467, 349.971892, 0.181109, 16.953, GO12078_LC
246437626, 348.913693, 0.186552, 16.913, GO12078_LC
246437880, 352.530643, 0.194523, 17.798, GO12078_LC
246438335, 349.914923, 0.208124, 17.61, GO12078_LC
246438859, 347.740701, 0.224062, 18.455, GO12078_LC
246438880, 352.65691, 0.224997, 18.587, GO12078_LC
246439181, 350.326359, 0.234472, 18.232, GO12078_LC
246439204, 347.386543, 0.235147, 18.451, GO12078_LC
246439234, 350.733536, 0.235815, 18.318, GO12078_LC
246439897, 349.793194, 0.257321, 17.694, GO12078_LC
246439907, 348.203811, 0.257789, 18.149, GO12078_LC
246439996, 352.546577, 0.260645, 17.696, GO12078_LC
246440442, 347.672051, 0.274464, 17.826, GO12078_LC
246440519, 350.977651, 0.277035, 17.44, GO12078_LC
246440547, 349.071581, 0.277815, 18.467, GO12078_LC
246440679, 348.470195, 0.282222, 18.401, GO12078_LC
246440734, 348.924495, 0.283581, 17.664, GO12078_LC
246440884, 348.491176, 0.288582, 18.529, GO12078_LC
246441295, 352.423293, 0.301575, 17.469, GO12078_LC
246441405, 350.259849, 0.304965, 17.77, GO12078_LC
246441626, 351.337927, 0.312263, 17.759, GO12078_LC
246441865, 349.823047, 0.320281, 18.27, GO12078_LC
246441942, 351.150246, 0.322922, 18.08, GO12078_LC
246442038, 348.46982, 0.326353, 17.421, GO12078_LC
246442441, 349.725607, 0.339107, 18.307, GO12078_LC
246442728, 347.759224, 0.348644, 18.351, GO12078_LC
246442854, 347.879263, 0.35339, 18.223, GO12078_LC
246443063, 347.5078, 0.360456, 18.089, GO12078_LC
246443076, 351.27889, 0.360818, 17.335, GO12078_LC
246443359, 351.234873, 0.369451, 18.066, GO12078_LC
246443944, 347.778067, 0.388334, 18.407, GO12078_LC
246444119, 350.54088, 0.39386, 18.33, GO12078_LC
246444208, 351.4593, 0.396855, 18.513, GO12078_LC
246444320, 348.841214, 0.400142, 17.243, GO12078_LC
246444458, 348.270071, 0.404442, 17.703, GO12078_LC
246444570, 351.351216, 0.408056, 17.734, GO12078_LC
246444627, 350.574808, 0.409846, 18.436, GO12078_LC
246444640, 349.869949, 0.410259, 17.491, GO12078_LC
246444749, 347.766697, 0.413508, 17.97, GO12078_LC
246444783, 348.453005, 0.414466, 17.938, GO12078_LC
246444898, 348.420734, 0.417996, 17.638, GO12078_LC
