EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228752884, 182.583396, -8.796094, 9.818, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228753003, 182.640076, -8.791076, 10.819, GO10068_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC
228753096, 182.316556, -8.786259, 11.183, GO10066_LC|GO10042_LC|GO10036_LC
228753154, 182.233351, -8.784273, 10.599, GO10066_LC|GO10042_LC
228754001, 182.166393, -8.747175, 11.651, GO10066_LC|GO10042_LC|GO10036_LC
228756384, 190.836924, -8.639815, 10.415, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC
228756825, 192.023566, -8.621057, 10.629, GO10066_LC|GO10042_LC
228757035, 190.77081, -8.610141, 8.849, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10031_LC|GO10028_LC
228757098, 185.550534, -8.607189, 10.981, GO10051_LC|GO10077_LC|GO10066_LC
228757142, 191.94536, -8.604736, 11.079, GO10056_LC|GO10066_LC|GO10031_LC|GO10008_LC|GO10049_LC
228757317, 190.972298, -8.597275, 11.637, GO10040_LC|GO10066_LC|GO10042_LC
228758154, 192.679771, -8.562539, 11.425, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228758266, 185.517611, -8.557661, 8.761, GO10066_LC|GO10042_LC|GO10031_LC
228758341, 192.713052, -8.554616, 10.75, GO10032_LC|GO10077_LC|GO10066_LC
228758894, 190.969137, -8.530199, 10.791, GO10066_LC|GO10042_LC|GO10036_LC
228759949, 190.931201, -8.48506, 9.895, GO10051_LC|GO10066_LC|GO10042_LC|GO10036_LC
228760097, 190.948471, -8.478236, 11.512, GO10068_LC|GO10077_LC|GO10066_LC
228770061, 192.118913, -8.044986, 9.549, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228770167, 192.385497, -8.040712, 11.659, GO10068_LC|GO10077_LC|GO10066_LC
228770440, 192.33589, -8.028395, 11.344, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228770476, 192.900065, -8.026702, 11.661, GO10032_LC|GO10040_LC|GO10066_LC|GO10042_LC
228770893, 192.164037, -8.007135, 10.816, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228771056, 186.311545, -8.000922, 11.451, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC
228771267, 186.384502, -7.991526, 11.049, GO10051_LC|GO10066_LC|GO10042_LC
228771632, 192.863055, -7.976215, 11.432, GO10032_LC|GO10077_LC|GO10066_LC
228773998, 185.463425, -7.876469, 10.083, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228774330, 185.50952, -7.863268, 11.261, GO10066_LC|GO10042_LC
228776659, 191.008807, -7.765768, 10.978, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228777004, 192.352199, -7.75043, 11.323, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228777631, 190.997267, -7.723258, 11.732, GO10051_LC|GO10077_LC|GO10066_LC|GO10050_LC
