EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
223062004, 267.145029, -26.57316, 10.378, GO11071_LC|GO11122_LC|GO11052_LC
223079925, 266.461765, -26.545655, 10.905, GO11122_LC|GO11024_LC|GO11052_LC
223081879, 267.157523, -26.542779, 10.893, GO11071_LC|GO11122_LC|GO11052_LC
223083675, 267.309982, -26.540007, 11.608, GO11122_LC|GO11038_LC|GO11052_LC
223085140, 267.86368, -26.537701, 10.502, GO11122_LC|GO11082_LC|GO11052_LC|GO11019_LC
223089601, 268.056706, -26.530845, 10.523, GO11122_LC|GO11052_LC|GO11019_LC
223105628, 266.58152, -26.506326, 9.847, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
223107949, 266.744624, -26.502826, 10.973, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
223112820, 266.692299, -26.495374, 9.823, GO11071_LC|GO11113_LC|GO11101_LC|GO11052_LC
223156457, 266.991897, -26.427455, 12.164, GO11122_LC|GO11002_LC|GO11095_LC|GO11052_LC
223160833, 266.915666, -26.420768, 10.296, GO11122_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11127_LC
223168613, 268.666773, -26.408513, 10.562, GO11122_LC|GO11002_LC|GO11052_LC
223200332, 266.168412, -26.358852, 10.154, GO11122_LC|GO11038_LC|GO11052_LC
223207465, 266.891314, -26.347528, 9.115, GO11113_LC|GO11122_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
223212136, 268.029434, -26.340084, 10.439, GO11122_LC|GO11052_LC
223219890, 268.497104, -26.32784, 10.849, GO11122_LC|GO11052_LC|GO11019_LC
223220843, 266.08507, -26.326202, 9.993, GO11071_LC|GO11052_LC
223220983, 267.575387, -26.326027, 8.263, GO11122_LC|GO11002_LC|GO11101_LC|GO11052_LC|GO11019_LC
223237645, 267.39582, -26.299519, 10.594, GO11071_LC|GO11122_LC|GO11052_LC
223245308, 268.094539, -26.287313, 11.42, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223248219, 267.983294, -26.28271, 10.071, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223274819, 267.827537, -26.239725, 10.006, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223292442, 266.637231, -26.211503, 10.92, GO11071_LC|GO11122_LC|GO11052_LC
223294745, 266.251133, -26.207845, 10.001, GO11071_LC|GO11122_LC|GO11086_LC|GO11052_LC
223332021, 266.278132, -26.147612, 10.748, GO11071_LC|GO11052_LC
223334026, 267.64534, -26.144307, 10.425, GO11122_LC|GO11052_LC|GO11019_LC
223397267, 266.567173, -26.040229, 11.297, GO11122_LC|GO11038_LC|GO11052_LC
223413746, 268.306705, -26.013097, 10.74, GO11122_LC|GO11052_LC|GO11019_LC
223415782, 267.493961, -26.009784, 10.845, GO11049_LC|GO11122_LC|GO11052_LC
223418941, 266.232964, -26.004574, 10.886, GO11071_LC|GO11122_LC|GO11052_LC
223419617, 268.335862, -26.003428, 9.091, GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC
223432523, 267.405174, -25.982039, 9.294, GO11113_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
223434208, 266.691299, -25.979232, 10.207, GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
223440331, 268.444453, -25.969155, 10.841, GO11122_LC|GO11052_LC|GO11019_LC
223440977, 268.490603, -25.968126, 11.141, GO11038_LC|GO11052_LC|GO11019_LC
223452592, 268.21821, -25.948794, 10.725, GO11122_LC|GO11052_LC|GO11019_LC
223459977, 266.919207, -25.936519, 10.887, GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
223461917, 267.061122, -25.933412, 10.091, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
223466323, 266.578893, -25.926269, 10.314, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC
223485618, 268.215754, -25.894492, 10.889, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
223499940, 268.250191, -25.870917, 11.544, GO11049_LC|GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
223513504, 268.505839, -25.848386, 12.226, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223519429, 266.494763, -25.838494, 10.539, GO11122_LC|GO11052_LC|GO11019_LC
223532062, 267.919426, -25.817359, 9.989, GO11122_LC|GO11002_LC|GO11024_LC|GO11036_LC|GO11052_LC|GO11019_LC
223537061, 267.440614, -25.809177, 11.288, GO11071_LC|GO11122_LC|GO11052_LC
223541739, 268.32515, -25.801627, 10.862, GO11122_LC|GO11052_LC
223546877, 268.006122, -25.792954, 9.297, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
223552722, 266.501867, -25.78333, 10.619, GO11071_LC|GO11122_LC|GO11052_LC
223555891, 267.83433, -25.778084, 10.317, GO11122_LC|GO11024_LC|GO11052_LC
223570159, 266.679389, -25.754905, 9.143, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
223574294, 266.53224, -25.748142, 10.116, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
223587278, 266.219257, -25.726956, 9.792, GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
223592280, 267.480489, -25.718573, 10.679, GO11122_LC|GO11052_LC|GO11019_LC
223629273, 266.699742, -25.656935, 10.645, GO11071_LC|GO11122_LC|GO11048_LC|GO11052_LC
223638494, 268.427632, -25.641491, 9.931, GO11122_LC|GO11052_LC
223677300, 267.257306, -25.575746, 10.571, GO11122_LC|GO11052_LC|GO11019_LC
223679540, 267.853779, -25.572058, 10.802, GO11071_LC|GO11122_LC|GO11052_LC
223689337, 266.131062, -25.555481, 10.449, GO11071_LC|GO11122_LC|GO11101_LC|GO11098_LC|GO11052_LC
223711688, 266.754688, -25.517435, 10.711, GO11122_LC|GO11038_LC|GO11052_LC
223714134, 268.214718, -25.513217, 11.394, GO11071_LC|GO11052_LC
223719116, 266.48959, -25.50474, 10.917, GO11071_LC|GO11122_LC|GO11052_LC
223720056, 267.94303, -25.503156, 11.273, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
223731551, 266.902113, -25.484014, 11.363, GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
223735739, 266.951715, -25.477054, 11.116, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
223760539, 268.192836, -25.435058, 11.275, GO11049_LC|GO11071_LC|GO11052_LC
223760961, 267.345737, -25.434327, 10.761, GO11122_LC|GO11052_LC
