EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212341331, 200.4958344, -16.361166, 14.019, GO6016_LC|GO6032_LC
212342148, 207.4281006, -16.3393536, 13.173, GO6016_LC|GO6030_LC|GO6032_LC
212342451, 204.2433624, -16.3306541, 12.572, GO6008_LC|GO6016_LC|GO6028_LC|GO6032_LC|GO6071_LC
212342694, 203.2268372, -16.3250408, 14.844, GO6016_LC
212342782, 203.6662903, -16.3229733, 8.611, GO6016_LC|GO6032_LC
212342833, 207.488739, -16.3213291, 14.665, GO6016_LC|GO6032_LC
212342924, 207.4839478, -16.319025, 14.927, GO6016_LC
212343667, 204.2104645, -16.2990799, 14.37, GO6016_LC
212343939, 205.0814362, -16.2916851, 13.4, GO6016_LC|GO6030_LC
212343949, 207.1038208, -16.2914753, 14.368, GO6016_LC
212345224, 207.6305847, -16.2577934, 14.427, GO6016_LC|GO6032_LC
212346577, 203.193634, -16.2210674, 12.781, GO6016_LC|GO6030_LC
212346917, 202.0074463, -16.2119732, 14.494, GO6016_LC
212348824, 204.3586884, -16.161726, 14.724, GO6016_LC|GO6032_LC
212349906, 203.6954193, -16.1338158, 14.774, GO6016_LC|GO6054_LC
212352122, 211.2368164, -16.0756359, 14.766, GO6016_LC
212353155, 202.0792389, -16.047718, 14.772, GO6016_LC
212355006, 204.2111969, -15.999507, 12.565, GO6016_LC|GO6030_LC|GO6032_LC|GO6069_LC
212355011, 211.3823242, -15.9994497, 14.914, GO6016_LC
212355124, 211.3805847, -15.996067, 14.073, GO6016_LC
212355967, 204.293869, -15.9757586, 14.368, GO6016_LC|GO6032_LC
212357237, 203.1630096, -15.9434252, 14.88, GO6008_LC|GO6016_LC
212359637, 201.9843445, -15.8832073, 14.789, GO6008_LC|GO6016_LC
212360032, 211.0942078, -15.8743029, 14.915, GO6016_LC
212360056, 203.3867188, -15.8735304, 14.943, GO6016_LC
212360190, 203.3881836, -15.870223, 14.473, GO6016_LC
212361184, 201.034668, -15.8442926, 13.774, GO6016_LC|GO6030_LC|GO6032_LC
212361428, 200.413559, -15.8386412, 14.738, GO6016_LC|GO6071_LC
212361547, 201.5967712, -15.8355455, 14.918, GO6016_LC
212363315, 209.9751282, -15.7910452, 14.131, GO6008_LC|GO6016_LC|GO6032_LC
212365743, 201.156723, -15.7306376, 14.673, GO6016_LC|GO6032_LC
212368229, 200.4372253, -15.669179, 14.864, GO6016_LC
212368729, 209.7744904, -15.6575489, 13.518, GO6016_LC|GO6032_LC
212368897, 209.7714081, -15.6538, 13.684, GO6016_LC|GO6030_LC
212369463, 211.0218201, -15.6405315, 14.733, GO6008_LC|GO6016_LC
