EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
213928890, 293.4346619, -27.8579769, 11.46, GO7086_LC|GO7030_LC|GO7087_LC
213929381, 289.5804138, -27.8566666, 9.987, GO7086_LC|GO7087_LC|GO7030_LC
213947931, 282.1623535, -27.8027859, 11.466, GO7086_LC|GO7030_LC|GO7087_LC
213949197, 291.7587891, -27.7991676, 11.932, GO7030_LC|GO7087_LC
213949410, 290.5335083, -27.7985077, 11.934, GO7030_LC|GO7032_LC|GO7087_LC
213949533, 293.7219849, -27.7981491, 11.772, GO7030_LC|GO7087_LC
213960822, 283.711853, -27.7661648, 11.844, GO7086_LC|GO7030_LC|GO7087_LC
213962982, 283.9241028, -27.7599201, 11.809, GO7030_LC|GO7087_LC|GO7028_LC
213967797, 289.6200256, -27.7462177, 11.492, GO7086_LC|GO7030_LC|GO7087_LC
213970689, 281.624176, -27.7379551, 11.283, GO7086_LC|GO7030_LC|GO7087_LC
213975215, 283.3468323, -27.7252178, 11.307, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213984563, 285.8927917, -27.698843, 11.588, GO7086_LC|GO7030_LC|GO7087_LC|GO7032_LC
213985564, 290.958252, -27.6961117, 11.806, GO7030_LC|GO7087_LC
213998381, 283.0556946, -27.6598835, 11.582, GO7086_LC|GO7030_LC|GO7087_LC
214004919, 293.410614, -27.6413174, 11.802, GO7030_LC|GO7087_LC
214007545, 283.3340454, -27.633852, 11.971, GO7030_LC|GO7087_LC
214008483, 290.27948, -27.6312313, 11.868, GO7030_LC|GO7087_LC
214012380, 283.4894714, -27.6204777, 11.908, GO7030_LC|GO7087_LC|GO7028_LC
214019133, 293.9512329, -27.6016312, 11.775, GO7030_LC|GO7087_LC
214020133, 291.772583, -27.5988007, 11.982, GO7030_LC|GO7087_LC|GO7028_LC
214037625, 285.3208008, -27.5505943, 9.112, GO7078_LC|GO7087_LC|GO7028_LC|GO7030_LC
214038211, 282.107666, -27.5490246, 11.809, GO7030_LC|GO7087_LC
214044905, 292.8615723, -27.530302, 11.55, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214048585, 283.0467529, -27.5200882, 11.903, GO7030_LC|GO7087_LC|GO7028_LC
214049657, 283.8886719, -27.5170612, 9.324, GO7086_LC|GO7039_LC|GO7087_LC|GO7030_LC|GO7039_SC
214050277, 288.219696, -27.515358, 11.804, GO7030_LC|GO7087_LC
214064648, 290.4484558, -27.475872, 11.762, GO7086_LC|GO7030_LC|GO7087_LC
