EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,cadence [min],Investigation IDs
202066675,97.34898000000001,25.235970000000002,14.2,30,GO0078_LC
202066680,100.92636,28.80439,14.5,30,GO0078_LC
202066687,97.62118000000001,26.501109999999997,14.3,30,GO0078_LC
202066693,98.37106,27.081809999999997,15.0,30,GO0078_LC
202066698,102.73889,17.055239999999998,14.8,30,GO0078_LC
202066699,98.24756,26.86962,14.4,30,GO0078_LC
202066702,102.43399000000001,16.64526,14.1,30,GO0078_LC
202066710,102.50618,15.29734,14.4,30,GO0078_LC
202066721,103.0699,15.455720000000001,14.7,30,GO0078_LC
202066738,101.0289,28.86852,14.6,30,GO0078_LC
202066763,97.34865,25.234679999999997,14.3,30,GO0078_LC
202066770,91.36336999999999,23.57669,14.1,30,GO0078_LC
202066801,100.97205,27.38713,14.8,30,GO0078_LC
202066811,103.36131999999999,16.83309,14.5,30,GO0078_LC
202066827,99.55386999999999,27.7388,14.8,30,GO0078_LC
202066832,95.2509,26.313640000000003,13.9,30,GO0078_LC
202066835,102.44053000000001,16.39946,14.3,30,GO0078_LC
202066849,103.18177,17.50959,14.4,30,GO0078_LC
202066854,103.03707,15.428529999999999,14.6,30,GO0078_LC
202066859,100.80033,27.374670000000002,14.4,30,GO0078_LC
202066867,98.46485,26.44105,14.3,30,GO0078_LC
202066871,97.84385,25.188670000000002,14.2,30,GO0078_LC
202066898,104.3446,18.62344,14.2,30,GO0078_LC
202066899,103.18218,17.5003,14.6,30,GO0078_LC
202066909,98.35461,26.975579999999997,13.5,30,GO0078_LC
202066910,100.5761,27.479770000000002,14.6,30,GO0078_LC
202066918,101.12904,26.67217,14.3,30,GO0078_LC
202066923,96.9864,27.29048,14.1,30,GO0078_LC
202066926,104.34708,18.63124,14.0,30,GO0078_LC
202066931,96.47988000000001,26.07785,13.9,30,GO0078_LC
202066934,104.38178,18.50291,14.4,30,GO0078_LC
202066939,103.48352,15.545770000000001,14.1,30,GO0078_LC
202066941,101.07609000000001,26.6657,13.1,30,GO0078_LC
202066946,104.35539,18.6106,14.7,30,GO0078_LC
202066977,102.85065999999999,17.36692,14.6,30,GO0078_LC
202066983,99.79289,26.84204,14.8,30,GO0078_LC
202066986,102.28947,17.19396,14.8,30,GO0078_LC
202066994,102.31716,17.13447,14.5,30,GO0078_LC
202066998,99.47444,28.35888,14.9,30,GO0078_LC
202067015,100.04038,26.714959999999998,13.8,30,GO0078_LC
202067017,93.27042,24.29385,14.2,30,GO0078_LC
202067021,103.30031,16.71116,14.4,30,GO0078_LC
202067035,100.42358,27.27025,14.6,30,GO0078_LC
202067038,95.31416999999999,26.00329,14.9,30,GO0078_LC
202067042,100.49037,28.6508,13.6,30,GO0078_LC
202067054,102.27264,17.31258,14.8,30,GO0078_LC
202067055,93.86791,25.835,14.0,30,GO0078_LC
202067058,100.35165,26.673070000000003,14.5,30,GO0078_LC
202067064,98.20888000000001,27.07,14.8,30,GO0078_LC
202067081,102.93836999999999,15.54108,14.3,30,GO0078_LC
202067092,103.23609,17.45226,14.6,30,GO0078_LC
202067101,103.23943,17.55697,14.9,30,GO0078_LC
202067106,94.17797,24.911279999999998,14.7,30,GO0078_LC
202067111,103.44763,15.67266,14.7,30,GO0078_LC
202067112,99.50312,27.256159999999998,14.7,30,GO0078_LC
202067114,100.95633000000001,28.9198,14.4,30,GO0078_LC
202067125,103.45781,15.469220000000002,14.7,30,GO0078_LC
202067140,96.54700000000001,24.646710000000002,14.5,30,GO0078_LC
202067158,99.68725,28.4803,14.8,30,GO0078_LC
202067162,102.98578,16.296670000000002,14.6,30,GO0078_LC
202067167,97.93802,26.85731,14.4,30,GO0078_LC
202067195,100.15829000000001,28.7773,14.3,30,GO0078_LC
202067201,100.31052,28.6002,14.7,30,GO0078_LC
202067208,92.79332,22.735120000000002,14.5,30,GO0078_LC
202067214,103.06115,15.903939999999999,14.8,30,GO0078_LC
202067235,102.81359,17.445429999999998,14.7,30,GO0078_LC
202067239,100.64298000000001,26.59014,14.8,30,GO0078_LC
202067241,103.15341,17.62847,14.7,30,GO0078_LC
202067245,102.81291,17.353189999999998,14.7,30,GO0078_LC
202067248,98.47742,26.994020000000003,14.3,30,GO0078_LC
202067257,100.33202,26.84068,14.3,30,GO0078_LC
202067259,99.8817,28.50158,14.4,30,GO0078_LC
202067268,100.05549,27.590590000000002,14.8,30,GO0078_LC
202067279,102.63020999999999,15.396279999999999,14.3,30,GO0078_LC
202067280,102.7498,17.27617,14.7,30,GO0078_LC
202067285,103.20891,16.844820000000002,14.9,30,GO0078_LC
202067291,103.20496999999999,17.07398,14.7,30,GO0078_LC
202067297,102.91383,16.723779999999998,14.8,30,GO0078_LC
202067300,102.75959,16.75293,14.2,30,GO0078_LC
202067306,99.81868,28.54697,14.8,30,GO0078_LC
202067310,102.93146,15.3912,14.6,30,GO0078_LC
202067318,99.3526,26.550720000000002,14.2,30,GO0078_LC
202067320,99.89941,27.39412,14.9,30,GO0078_LC
202067336,100.77043,27.94568,14.7,30,GO0078_LC
202067337,100.65511,27.03479,13.9,30,GO0078_LC
202067338,102.4018,16.11294,14.6,30,GO0078_LC
202067342,103.22718,17.63139,14.2,30,GO0078_LC
202067344,103.05629,16.02436,14.6,30,GO0078_LC
202067347,102.47112,15.93725,14.3,30,GO0078_LC
202067360,102.82355,17.09391,14.9,30,GO0078_LC
