EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200063259, , , , GO8010_LC|1999TS40_TILE
200063260, , , , GO8010_LC|1999TS40_TILE
200063261, , , , GO8010_LC|1999TS40_TILE
200063262, , , , GO8010_LC|1999TS40_TILE
200063263, , , , GO8010_LC|1999TS40_TILE
200063264, , , , GO8010_LC|1999TS40_TILE
200063265, , , , GO8010_LC|1999TS40_TILE
200063266, , , , GO8010_LC|1999TS40_TILE
200063267, , , , GO8010_LC|1999TS40_TILE
200063268, , , , GO8010_LC|1999TS40_TILE
200063269, , , , GO8010_LC|1999TS40_TILE
200063270, , , , GO8010_LC|1999TS40_TILE
200063271, , , , GO8010_LC|1999TS40_TILE
200063272, , , , GO8010_LC|1999TS40_TILE
200063273, , , , GO8010_LC|1999TS40_TILE
200063274, , , , GO8010_LC|1999TS40_TILE
200063275, , , , GO8010_LC|1999TS40_TILE
200063276, , , , GO8010_LC|1999TS40_TILE
200063277, , , , GO8010_LC|1999TS40_TILE
200063278, , , , GO8010_LC|1999TS40_TILE
200063279, , , , GO8010_LC|1999TS40_TILE
200063280, , , , GO8010_LC|1999TS40_TILE
200063281, , , , GO8010_LC|1999TS40_TILE
200063282, , , , GO8010_LC|1999TS40_TILE
200063283, , , , GO8010_LC|1999TS40_TILE
200063284, , , , GO8010_LC|1999TS40_TILE
200063285, , , , GO8010_LC|1999TS40_TILE
200063286, , , , GO8010_LC|1999TS40_TILE
200063287, , , , GO8010_LC|1999TS40_TILE
200063288, , , , GO8010_LC|1999TS40_TILE
200063289, , , , GO8010_LC|1999TS40_TILE
200063290, , , , GO8010_LC|1999TS40_TILE
200063291, , , , GO8010_LC|1999TS40_TILE
200063292, , , , GO8010_LC|1999TS40_TILE
200063293, , , , GO8010_LC|1999TS40_TILE
200063294, , , , GO8010_LC|1999TS40_TILE
200063295, , , , GO8010_LC|1999TS40_TILE
200063296, , , , GO8010_LC|1999TS40_TILE
200063297, , , , GO8010_LC|1999TS40_TILE
200063298, , , , GO8010_LC|1999TS40_TILE
200063299, , , , GO8010_LC|1999TS40_TILE
