#Custom Aperture Number, Target Name
#SET 2016-04-18
200061807,Trojan 2001 SM251
200061808,Trojan 2001 SM251
200061809,Trojan 2001 SM251
200061810,Trojan 2001 SM251
200061811,Trojan 2001 SM251
200061812,Trojan 2001 SM251
200061813,Trojan 2001 SM251
200061814,Trojan 2001 SM251
200061815,Trojan 2001 SM251
200061816,Trojan 2001 SM251
200061817,Trojan 2001 SM251
200061818,Trojan 2001 SM251
200061819,Trojan 2001 SM251
200061820,Trojan 2001 SM251
200061821,Trojan 2001 SM251
200061822,Trojan 2001 SM251
200061823,Trojan 2001 SM251
200061824,Trojan 2001 SM251
200061825,Trojan 2001 SM251
200061826,Trojan 2001 SM251
200061827,Trojan 2001 SM251
200061828,Trojan 2001 SM251
200061829,Trojan 2001 SM251
200061830,Trojan 2001 SM251
200061831,Trojan 2001 SM251
200061832,Trojan 2001 SM251
200061833,Trojan 2001 SM251
200061834,Trojan 2001 SM251
200061835,Trojan 2001 SM251
200061836,Trojan 2001 SM251
200061837,Trojan 2001 SM251
200061838,Trojan 2001 SM251
200061839,Trojan 2001 SM251
200061840,Trojan 2001 SM251
200061841,Trojan 2001 SM251
200061842,Trojan 2001 SM251
200061843,Trojan 2001 SM251
200061844,Trojan 2001 SM251
200061845,Trojan 2001 SM251
200061846,Trojan 2001 SM251
200061847,Trojan 2001 SM251
200061848,Trojan 2001 SM251
200061849,Trojan 2001 SM251
200061850,Trojan 2001 SM251
200061851,Trojan 2001 SM251
200061852,Trojan 2001 SM251
200061853,Trojan 2001 SM251
200061854,Trojan 2001 SM251
200061855,Trojan 2001 SM251
200061856,Trojan 2001 SM251
200061857,Trojan 2001 SM251
200061858,Trojan 2001 SM251
200061859,Trojan 2001 SM251
200061860,Trojan 2001 SM251
200061861,Trojan 2001 SM251
200061862,Trojan 2001 SM251
200061863,Trojan 2001 SM251
200061864,Trojan 2001 SM251
200061865,Trojan 2001 SM251
200061866,Trojan 2001 SM251
200061867,Trojan 2001 SM251
200061868,Trojan 2001 SM251
200061869,Trojan 2001 SM251
200061870,Trojan 2001 SM251
200061871,Trojan 2001 SM251
200061872,Trojan 2001 SM251
200061873,Trojan 2001 SM251
200061874,Trojan 2001 SM251
200061875,Trojan 2001 SM251
200061876,Trojan 2001 SM251
200061877,Trojan 2001 SM251
200061878,Trojan 2001 SM251
200061879,Trojan 2001 SM251
200061880,Trojan 2001 SM251
200061881,Trojan 2001 SM251
200061882,Trojan 2001 SM251
200061883,Trojan 2001 SM251
200061884,Trojan 2001 SM251
200061885,Trojan 2001 SM251
200061886,Trojan 2001 SM251
200061887,Trojan 2001 SM251
200061888,Trojan 2001 SM251
200061889,Trojan 2001 SM251
200061890,Trojan 2001 SM251
200061891,Trojan 2001 SM251
200061892,Trojan 2001 SM251
200061893,Trojan 2001 SM251
200061894,Trojan 2001 SM251
200061895,Trojan 2001 SM251
200061896,Trojan 2001 SM251
200061897,Trojan 2001 SM251
200061898,Trojan 2001 SM251
200061899,Trojan 2001 SM251
200061900,Trojan 2001 SM251
200061901,Trojan 2001 SM251
200061902,Trojan 2001 SM251
200061903,Trojan 2001 SM251
200061904,Trojan 2001 SM251
200061905,Trojan 2001 SM251
200061906,Trojan 2001 SM251
200061907,Trojan 2001 SM251
200061908,Trojan 2001 SM251
200061909,Trojan 2001 SM251
200061910,Trojan 2001 SM251
200061911,Trojan 2001 SM251
200061912,Trojan 2001 SM251
200061913,Trojan 2001 SM251
200061914,Trojan 2001 SM251
200061915,Trojan 2001 SM251
200061916,Trojan 2001 SM251
200061917,Trojan 2001 SM251
200061918,Trojan 2001 SM251
200061919,Trojan 2001 SM251
200061920,Trojan 2001 SM251
200061921,Trojan 2001 SM251
200061922,Trojan 2001 SM251
200061923,Trojan 2001 SM251
200061924,Trojan 2001 SM251
200061925,Trojan 2001 SM251
200061926,Trojan 2001 SM251
200061927,Trojan 2001 SM251
200061928,Trojan 2001 SM251
200061929,Trojan 2001 SM251
200061930,Trojan 2001 SM251
200061931,Trojan 2001 SM251
200061932,Trojan 2001 SM251
200061933,Trojan 2001 SM251
200061934,Trojan 2001 SM251
200061935,Trojan 2001 SM251
200061936,Trojan 2001 SM251
200061937,Trojan 2001 SM251
200061938,Trojan 2001 SM251
200061939,Trojan 2001 SM251
200061940,Trojan 2001 SM251
200061941,Trojan 2001 SM251
200061942,Trojan 2001 SM251
200061943,Trojan 2001 SM251
200061944,Trojan 2001 SM251
200061945,Trojan 2001 SM251
200061946,Trojan 2001 SM251
200061947,Trojan 2001 SM251
200061948,Trojan 2001 SM251
200061949,Trojan 2001 SM251
200061950,Trojan 2001 SM251
200061951,Trojan 2001 SM251
200061952,Trojan 2001 SM251
200061953,Trojan 2001 SM251
200061954,Trojan 2001 SM251
200061955,Trojan 2001 SM251
200061956,Trojan 2001 SM251
200061957,Trojan 2001 SM251
200061958,Trojan 2001 SM251
200061959,Trojan 2001 SM251
200061960,Trojan 2001 SM251
200061961,Trojan 2001 SM251
200061962,Trojan 2001 SM251
200061963,Trojan 2001 SM251
200061964,Trojan 2001 SM251
200061965,Trojan 2001 SM251
200061966,Trojan 2001 SM251
200061967,Trojan 2001 SM251
200061968,Trojan 2001 SM251
200061969,Trojan 2001 SM251
200061970,Trojan 2001 SM251
200061971,Trojan 2001 SM251
200061972,Trojan 2001 SM251
200061973,Trojan 2001 SM251
200061974,Trojan 2001 SM251
200061975,Trojan 2001 SM251
200061976,Trojan 2001 SM251
200061977,Trojan 2001 SM251
200061978,Trojan 2001 SM251
200061979,Trojan 2001 SM251
200061980,Trojan 2001 SM251
200061981,Trojan 2001 SM251
200061982,Trojan 2001 SM251
200061983,Trojan 2001 SM251
200061984,Trojan 2001 SM251
200061985,Trojan 2001 SM251
200061986,Trojan 2001 SM251
200061987,Trojan 2001 SM251
200061988,Trojan 2001 SM251
200061989,Trojan 2001 SM251
200061990,Trojan 2001 SM251
200061991,Trojan 2001 SM251
200061992,Trojan 2001 SM251
200061993,Trojan 2001 SM251
200061994,Trojan 2001 SM251
200061995,Trojan 2001 SM251
200061996,Trojan 2001 SM251
200061997,Trojan 2001 SM251
200061998,Trojan 2001 SM251
200061999,Trojan 2001 SM251
200062000,Trojan 2001 SM251
200062001,Trojan 2001 SM251
200062002,Trojan 2001 SM251
200062003,Trojan 2001 SM251
200062004,Trojan 2001 SM251
200062005,Trojan 2001 SM251
200062006,Trojan 2001 SM251
200062007,Trojan 2001 SM251
200062008,Trojan 2001 SM251
200062009,Trojan 2001 SM251
200062010,Trojan 2001 SM251
200062011,Trojan 2001 SM251
200062012,Trojan 2001 SM251
200062013,Trojan 2001 SM251
200062014,Trojan 2001 SM251
200062015,Trojan 2001 SM251
